:displayName Deutsch

'1 Pi Capitaalo planet, want exotics.prefab
'name2	'((Inhabited planet))	'((Bewohnter Planet))	25		'383958601:dlc2/1 Pi Capitaalo planet, want exotics.prefab; 180401831:dlc2/2 Pi Phobian planet 2, wasteland.prefab; 310536612:dlc2/1 Pi Capitaalo planet, want synth.prefab; 416434856:dlc2/1 Pi Capitaalo planet, want organics.prefab; 685940565:dlc2/2 Pi Phobian planet 1, want credits.prefab; 1615424338:dlc2/1 Pi Capitaalo planet, want explosives.prefab; 1852234114:dlc2/1 Pi Capitaalo planet, want organics 2.prefab; 1930524378:dlc2/2 Pi Phobian planet 3, give weapon.prefab
'text2	'Trade completed without problems.	'Handel ohne Probleme abgeschlossen.	400		'878497087:dlc2/1 Pi Capitaalo planet, want exotics.prefab; 805075098:dlc2/1 Pi Capitaalo planet, want synth.prefab; 2109962824:dlc2/1 Pi Capitaalo planet, want explosives.prefab
'title	'Capitaalo fuel colony	'Capitaalo-Treibstoff-Kolonie	35		'1561084453:dlc2/1 Pi Capitaalo planet, want exotics.prefab; 1561084453:dlc2/1 Pi Capitaalo planet, want exotics.prefab
'text	'We've found another Capitaalo colony. These quasi-primitives are obsessed with their ancient currency system and enjoy measuring things in money. Their colony leaders propose a trade, they want exotics in exchange for starfuel that they produce.	'Wir haben eine weitere Capitaalo-Kolonie gefunden. Diese Quasi-Primitiven sind besessen von ihrem alten Währungssystem und messen die Dinge gerne in Geld. Ihre Kolonieführer schlagen einen Handel vor, sie wollen Exoten im Austausch für den von ihnen produzierten Treibstoff.	400		'1561084453:dlc2/1 Pi Capitaalo planet, want exotics.prefab
'choiceText	'Trade [-2 exotics for 80 fuel]	'Handel [+80 Treibstoff, -2 Exoten]	100		'1561084453:dlc2/1 Pi Capitaalo planet, want exotics.prefab

'1 Pi Capitaalo planet, want explosives.prefab
'title	'Capitaalo mining colony	'Capitaalo-Bergbaukolonie	35		'645066542:dlc2/1 Pi Capitaalo planet, want explosives.prefab; 645066542:dlc2/1 Pi Capitaalo planet, want explosives.prefab; 881876318:dlc2/1 Pi Capitaalo planet, want organics 2.prefab; 881876318:dlc2/1 Pi Capitaalo planet, want organics 2.prefab; 1593560708:dlc2/1 Pi Capitaalo planet, want organics.prefab; 1593560708:dlc2/1 Pi Capitaalo planet, want organics.prefab
'text	'We've found a Capitaalo mining colony. These quasi-primitives are obsessed with their ancient currency system and enjoy measuring things in money. Their colony leaders propose a trade, they need explosives in exchange for precious metals.	'Wir haben eine Capitaalo-Bergbaukolonie gefunden. Diese Quasi-Primitiven sind besessen von ihrem alten Währungssystem und messen Dinge gern in Geld. Ihre Kolonieführer schlagen einen Handel vor, sie brauchen Sprengstoffe im Tausch gegen Metalle.	400		'645066542:dlc2/1 Pi Capitaalo planet, want explosives.prefab
'choiceText	'Trade [-80 explosives for 175 metal]	'Handel [+175 Metalle, -80 Sprengstoffe]	100		'645066542:dlc2/1 Pi Capitaalo planet, want explosives.prefab

'1 Pi Capitaalo planet, want organics 2.prefab
'text2	'We sent the colony representatives new plants and seeds to postpone their demise. The poor locals gave us a small heap of low-quality resources, but also a little something from one of their abandoned research facilities. It seems they've not forgotten generosity.	'Wir haben den Vertretern der Kolonie neue Pflanzen und Samen geschickt, um ihren Untergang hinauszuzögern. Die armen Einheimischen gaben uns einen kleinen Haufen minderwertiger Rohstoffe, aber auch eine Kleinigkeit aus einer ihrer verlassenen Forschungseinrichtungen. Es scheint, sie haben die Großzügigkeit nicht vergessen.	400		'199288952:dlc2/1 Pi Capitaalo planet, want organics 2.prefab
'text	'It seems industrial activity has nearly destroyed the ecosphere of this planet, and this Capitaalo colony is also on the verge of life support collapse. The locals beg for help restoring their biodiversity. They have only scraps to offer back.	'Es scheint, dass die industrielle Aktivität die Ökosphäre dieses Planeten fast zerstört hat, und auch diese Capitaalo-Kolonie steht kurz vor dem Zusammenbruch der Lebensgrundlage. Die Einheimischen bitten um Hilfe bei der Wiederherstellung ihrer Artenvielfalt. Sie haben nur ein paar Reste zu bieten.	400		'881876318:dlc2/1 Pi Capitaalo planet, want organics 2.prefab
'choiceText	'Donate [-100 organics, receive objects of low value]	'Spende [-100 Organik, erhalte Gegenstände von geringem Wert]	100		'881876318:dlc2/1 Pi Capitaalo planet, want organics 2.prefab

'1 Pi Capitaalo planet, want organics.prefab
'text2	'Trade completed. The elites have secured new plants and seeds for their underground greenhouses, but rest of the local population will probably slowly die off together with what remains of the biosphere.	'Handel abgeschlossen. Die Eliten haben sich neue Pflanzen und Saatgut für ihre unterirdischen Gewächshäuser gesichert, aber der Rest der lokalen Bevölkerung wird wahrscheinlich zusammen mit dem, was von der Biosphäre übrig geblieben ist, langsam aussterben.	400		'910973342:dlc2/1 Pi Capitaalo planet, want organics.prefab
'text	'We've contacted a Capitaalo colony. They are a quasi-primitive civilization, and this colony seems to be on the verge of collapse. It seems industrial activity has nearly destroyed tthe ecosphere of their planet. Some of the wealthier elites want to buy new plants and seeds from us (for their personal undergound bunker greenhouses). The only thing they have in abundance is gold, and they offer to pay with it.	'Wir haben Kontakt zu einer Capitaalo-Kolonie aufgenommen. Sie sind eine quasi-primitive Zivilisation, und diese Kolonie scheint am Rande des Zusammenbruchs zu sein. Die industrielle Aktivität hat die Ökosphäre ihres Planeten fast zerstört. Einige der wohlhabenderen Eliten wollen neue Pflanzen und Samen von uns kaufen (für ihre persönlichen unterirdischen Bunkergewächshäuser). Das einzige, was sie im Überfluss haben, ist Gold, und sie bieten an, damit zu bezahlen.	400		'1593560708:dlc2/1 Pi Capitaalo planet, want organics.prefab
