:displayName Deutsch

Dog.prefab
appearance[i].name	Bad Bitty	Böser Beißi	30		1502599448:sdlc/Dog.prefab
appearance[i].description	A trained dog, with brain implants. Has been taught to operate ship sensors, although does not completely understand what he is doing.	Ein dressierter Hund, mit Gehirnimplantaten. Ihm wurde beigebracht, die Schiffssensoren zu bedienen, obwohl er nicht ganz versteht, was er da tut.	250		1502599448:sdlc/Dog.prefab

Drone tigerdog.prefab
appearance[i].name	Tiger Dog 9000	Tiger Hund 9000	30		1727276051:sdlc/Drone tigerdog.prefab; 1137508603:sdlc/Perk pet Tiger dog drone.prefab

Drone tigerspider assaulter.prefab
appearance[i].name	Tiger Assault Spider	Tiger Angriff Spinne	30		1800714178:sdlc/Drone tigerspider assaulter.prefab
appearance[i].description	Heavy-duty drone modded for boarding operations. Upgraded software allows unhindered destructive behaviour. Almost fireproof.	Schwerlastdrohne, modifiziert für Boarding-Operationen. Aufgerüstete Software erlaubt ungehindertes zerstörerisches Verhalten. Fast feuerfest.	250		1800714178:sdlc/Drone tigerspider assaulter.prefab

Female cyborg crew.prefab
appearance[i].name	Scully	Sculli	30		2094501679:sdlc/Female cyborg crew.prefab
appearance[i].description	A codehacker who wants to become fully android one day.	Ein Codehacker, der eines Tages Voll-Androide werden will.	250		2094501679:sdlc/Female cyborg crew.prefab

Floater.prefab
appearance[i].name	Pinky	Pinki	30		185113131:sdlc/Floater.prefab
appearance[i].description	This social warp presentient is an extreme rarity. It is quite intelligent and likes staring into human eyes.	Dieser soziale Warp-Presentient ist eine extreme Rarität. Er ist recht intelligent und starrt gerne in menschliche Augen.	250		185113131:sdlc/Floater.prefab

Human sunglasses crew.prefab
appearance[i].description	A professional ambassador. Wears powerful eye-implants.	Ein professioneller Botschafter. Trägt leistungsstarke Augenimplantate.	250		1696290198:sdlc/Human sunglasses crew.prefab
appearance[i].description	A professional ambassador. Some handweapon training, and good eye implants.	Ein professioneller Botschafter. Etwas Handwaffentraining und gute Augenimplantate.	250		1696290198:sdlc/Human sunglasses crew.prefab
appearance[i].description	A professional ambassador. Knows many alien jokes. Always protects his eyes because he lost them once to molecular acid.	Ein professioneller Botschafter. Kennt viele Alien-Witze. Schützt immer seine Augen, weil er sie einmal durch Molekularsäure verloren hat.	250		1696290198:sdlc/Human sunglasses crew.prefab
appearance[i].description	A professional ambassador. Wears powerful eye-augmentations.	Ein professioneller Botschafter. Trägt starke Augen-Augmentationen.	250		1696290198:sdlc/Human sunglasses crew.prefab
appearance[i].description	A professional ambassador. Always protects his eyes because he lost them once to molecular acid attack.	Ein professioneller Botschafter. Schützt immer seine Augen, weil er sie einmal durch einen Molekularsäure-Angriff verloren hat.	250		1696290198:sdlc/Human sunglasses crew.prefab

Lizard.prefab
appearance[i].name	Shocky	Schocki	30		301730638:sdlc/Lizard.prefab
appearance[i].description	A large lizard capable of producing electrical energy from its eyes.	Eine große Eidechse, die aus ihren Augen elektrische Energie erzeugen kann.	250		301730638:sdlc/Lizard.prefab

Male cyborg crew.prefab
appearance[i].name	Grum	Grum	30		1732412902:sdlc/Male cyborg crew.prefab
appearance[i].description	An ex-diplomat who lost half of his face because of an accident in some kind of "friendship" ceremony.	Ein Ex-Diplomat, der durch einen Unfall bei einer Art "Freundschafts"-Zeremonie sein halbes Gesicht verloren hat.	250		1732412902:sdlc/Male cyborg crew.prefab

Rabbit.prefab
appearance[i].name	Killy	Killi	30		1820607702:sdlc/Rabbit.prefab
appearance[i].description	A genetically modified and trained combat animal.	Ein genetisch verändertes und trainiertes Kampftier.	250		1820607702:sdlc/Rabbit.prefab

Tortoise.prefab
appearance[i].name	Atuine	Atuin	30		93253305:sdlc/Tortoise.prefab
appearance[i].description	A large tortoise with natural firebreathing ability. The creature has learned gardening in the Univeristy for Presentients.	Eine große Schildkröte mit natürlicher Fähigkeit zum Feuerspucken. Die Kreatur hat an der Universität für Anwesende Gartenarbeit gelernt.	250		93253305:sdlc/Tortoise.prefab

bridge 2crew tiger.prefab
displayName	Command bridge, Tiger	Kommandobrücke, Tiger	40		171768739:sdlc/bridge 2crew tiger.prefab

fuel container tiger.prefab
displayName	Fuel tank (Tiger)	Treibstoff-Behälter (Tiger)	40		1061408062:sdlc/fuel container tiger.prefab

integrity tiger.prefab
displayName	Integrity hardpoint, Tiger	Integritäts-Ansatzpunkt, Tiger	40		1196638242:sdlc/integrity tiger.prefab
description	Composite plastic hardpoint, improves ship HP. Can be installed to gain extra ship HP, even during an emergency.	Plastik-Ansatzpunkt aus Verbundwerkstoff, verbessert die Schiffs-HP. Kann installiert werden, um zusätzliche Schiffshochleistung zu erhalten, auch während eines Notfalls.	200		1196638242:sdlc/integrity tiger.prefab

shield tigership.prefab
displayName	Tiger shield generator	Tiger-Schildgenerator	40		1427874574:sdlc/shield tigership.prefab

shieldbat tiger.prefab
displayName	Shield battery (Tiger)	Schildbatterie (Tiger)	40		1424188745:sdlc/shieldbat tiger.prefab
description	Increases maximum shield points, but no recharge. Durable structure also increases ship HP.	Erhöht maximale Schildpunkte, aber keine Wiederaufladung. Die widerstandsfähige Struktur erhöht auch die Schiffs-HP.	200		1424188745:sdlc/shieldbat tiger.prefab

Tiger 8x nuke launcher.prefab
displayName	Tiger Nuke battery x8	Tiger Bomben-Batterie x8	40		120466776:sdlc/Tiger 8x nuke launcher.prefab; 850100445:sdlc/Perk nuke Tiger battery 8.prefab
description	A single-use battery that releases 8 capital missiles.	Eine einmalig verwendbare Batterie, die 8 Bomben abschießt.	200		120466776:sdlc/Tiger 8x nuke launcher.prefab

Tiger EMP dual nuke launcher.prefab
displayName	Dual Tiger EMP nuke	Doppel-Tiger-EMP-Bombe	40		120056764:sdlc/Tiger EMP dual nuke launcher.prefab
description	A pair of large, armored EMP missiles. The EMP overloads modules in the hit area but deals no physical damage.	Ein Paar großer, gepanzerter EMP-Raketen. Der EMP überlastet Module im Trefferbereich, verursacht aber keinen physischen Schaden.	200		120056764:sdlc/Tiger EMP dual nuke launcher.prefab

Tiger intruderbot nuke launcher.prefab
displayName	Tiger intruderbot nuke	Tiger-Eindringling-Bombe	40		381835966:sdlc/Tiger intruderbot nuke launcher.prefab; 1273038811:sdlc/Perk nuke Tiger intruderbot nuke.prefab
description	Capital missile that releases a modified Tiger spider utility drone into the enemy ship. The drone is pre-programmed to attack enemy crew but can be recalled with a normal move order.	Großrakete, die eine modifizierte Tiger-Spinnen-Drohne in das gegnerische Schiff freisetzt. Die Drohne ist darauf programmiert, die gegnerische Besatzung anzugreifen, kann aber mit einem normalen Bewegungsbefehl zurückgerufen werden.	200		381835966:sdlc/Tiger intruderbot nuke launcher.prefab

Tiger Monolith nuke launcher.prefab
displayName	Tiger monolith nuke	Tiger-Monolith-Bombe	40		2070090696:sdlc/Tiger Monolith nuke launcher.prefab
description	A capital missile that rams enemy ships with incredible kinetic force. It's mostly made of solid metal.	Ein bombiger Flugkörper, der feindliche Schiffe mit unglaublicher kinetischer Kraft rammt. Sie besteht größtenteils aus massivem Metall.	200		2070090696:sdlc/Tiger Monolith nuke launcher.prefab

Tiger sharpnel nuke launcher.prefab
displayName	Tigerclaw, shrapnel nuke	Tigerklaue-Schrapnell-Bombe	40		1711403825:sdlc/Tiger sharpnel nuke launcher.prefab
description	An experimental capital missile that releases nanoshrapnel that destroys modules & crew, but not ship HP.	Eine experimentelle Bombe, die Nanosplitter freisetzt, die Module und Besatzung zerstören, aber nicht die HP des Schiffs.	200		1711403825:sdlc/Tiger sharpnel nuke launcher.prefab

weapon tigermissile large.prefab
displayName	Tiger mininuke platform	Tiger-Miniraketen-Plattform	40		1571322820:sdlc/weapon tigermissile large.prefab
description	This platform shoots singular heavy missiles. All missiles are accurate, penetrate shields, never deflect, and damage modules over a wide area.	Diese Plattform schießt einzelne schwere Raketen ab. Alle Raketen sind präzise, durchdringen Schilde, werden nie abgelenkt und beschädigen Module über einen großen Bereich. Die Raketen haben jeweils 4 HP.	200		1571322820:sdlc/weapon tigermissile large.prefab

Perk nuke Battle Tiger monolith.prefab
displayName	Tiger Mountain nuke	Tiger-Berg-Bombe	40		1581121396:sdlc/Perk nuke Battle Tiger monolith.prefab
description	A heavily armored single-shot missile that rams the target with force that could shatter micromoons. Small AoE.	Eine schwer gepanzerte Bombe, die das Ziel mit einer Kraft rammt, die Mikromonde zerschmettern könnte. Kleiner AoE.	250		1581121396:sdlc/Perk nuke Battle Tiger monolith.prefab

